metal_type,concentration,latitude,longitude,timestamp
Hg,1.44,-3.1272,106.8263,2025-04-12T08:25:00Z
Hg,3.57,-84.2592,-19.8712,2025-10-27T18:50:00Z
As,11.01,-29.1218,-142.8127,2025-11-10T14:48:00Z
As,2.07,43.5674,-151.6497,2025-04-08T03:58:00Z
Cd,5.61,-85.8316,0.6011,2025-04-30T23:11:00Z
Hg,2.77,-63.1052,-148.1934,2025-08-28T05:10:00Z
Cd,0.38,-56.6462,-10.529,2025-10-22T10:28:00Z
Cd,2.58,-78.199,-125.0084,2025-05-27T19:01:00Z
Cd,4.14,6.4305,-123.4107,2025-01-02T22:22:00Z
Cd,8.82,26.0083,-115.4831,2025-04-16T17:17:00Z
Hg,1.54,85.3835,-53.7248,2025-10-14T03:13:00Z
Pb,22.07,-72.6898,128.258,2025-04-21T07:57:00Z
Pb,28.87,-66.3749,-88.1952,2025-06-06T07:01:00Z
As,2.88,87.0283,-23.3015,2025-09-05T23:51:00Z
Cr,50.22,-31.7158,-140.8421,2025-11-13T10:51:00Z
Cd,4.48,-46.2336,76.2714,2025-12-04T13:00:00Z
As,9.49,29.6107,-149.3572,2025-08-06T12:04:00Z
As,11.11,17.8497,-126.1165,2025-07-06T03:12:00Z
Cr,26.34,-47.1072,-51.7205,2025-02-12T06:01:00Z
Hg,0.67,-68.0509,-60.9708,2025-09-06T16:24:00Z
Cd,4.84,23.9662,59.5082,2025-04-10T10:44:00Z
Cr,27.44,18.9803,-153.1502,2025-11-11T03:25:00Z
Cr,56.74,22.8596,-163.3897,2025-11-10T21:57:00Z
Cd,3.16,-48.9751,56.3767,2025-02-19T07:35:00Z
Pb,47.92,16.6304,5.6736,2025-10-17T03:49:00Z
Cr,90.15,13.2897,-41.871,2025-09-25T10:17:00Z
Cd,1.06,46.4093,49.5999,2025-08-22T10:54:00Z
Hg,2.71,39.4884,58.3931,2025-05-24T22:00:00Z
Hg,1.56,4.033,-94.0895,2025-09-29T07:27:00Z
Pb,15.11,-21.6036,-30.6157,2025-08-12T14:55:00Z
Pb,12.4,57.6664,141.8631,2025-03-04T15:18:00Z
Cd,1.14,-8.9317,-65.1766,2025-07-24T01:14:00Z
As,17.83,32.7544,8.1366,2025-02-22T07:25:00Z
Hg,8.22,3.4899,92.5381,2025-05-11T19:55:00Z
Hg,5.16,22.3399,40.2159,2025-04-11T16:41:00Z
As,8.24,74.2082,98.7391,2025-12-21T07:26:00Z
Pb,30.7,72.7274,81.9797,2025-02-18T18:11:00Z
Cr,12.84,57.6317,138.7731,2025-11-18T23:20:00Z
Cd,9.16,-54.2419,-93.737,2025-11-13T16:01:00Z
As,17.42,-77.3558,136.8609,2025-02-28T05:51:00Z
Cr,27.99,-1.9408,135.9363,2025-11-17T11:54:00Z
Cd,7.1,-75.1942,-171.8581,2025-10-19T03:42:00Z
Cr,79.58,-7.5356,56.4575,2025-02-20T05:28:00Z
Hg,9.91,-57.7483,-121.8267,2025-11-17T22:02:00Z
Pb,23.29,26.1591,177.6993,2025-11-27T06:58:00Z
Hg,9.14,82.4544,81.5999,2025-11-27T02:56:00Z
Hg,6.05,61.2619,157.0669,2025-01-22T15:23:00Z
Pb,46.7,-44.3988,71.24,2025-03-22T15:27:00Z
Hg,2.03,28.5151,135.4823,2025-05-01T17:50:00Z
Cd,1.88,13.411,-75.1011,2025-11-23T10:07:00Z
Cr,97.35,63.0089,-161.2444,2025-08-08T08:46:00Z
Cd,0.74,61.5705,68.3696,2025-02-18T20:33:00Z
Cd,0.17,32.0183,54.5004,2025-09-17T16:35:00Z
Cr,28.79,-39.8333,167.6315,2025-12-11T04:02:00Z
Pb,23.07,-32.2091,-7.3095,2025-08-19T08:16:00Z
Cr,79.45,82.7165,-17.9821,2025-06-11T04:38:00Z
Hg,3.13,82.5408,118.2165,2025-08-12T09:03:00Z
Hg,3.9,-84.5709,132.7592,2025-05-25T01:47:00Z
Cd,5.58,-33.2331,-123.8353,2025-03-23T07:40:00Z
As,4.42,43.2939,7.0255,2025-03-09T06:11:00Z
Hg,6.14,-17.7976,-78.9697,2025-07-09T18:11:00Z
Hg,7.24,56.2306,-69.3454,2025-03-31T04:57:00Z
Cd,9.76,-13.1783,-26.0104,2025-07-28T13:27:00Z
Cr,90.2,-4.8628,172.6835,2025-07-29T17:14:00Z
Hg,2.73,-46.7736,7.7124,2025-01-29T03:33:00Z
Hg,0.23,3.3417,-15.4506,2025-10-15T06:20:00Z
As,3.28,-47.639,-61.3844,2025-12-27T17:39:00Z
Hg,7.2,-45.7226,-109.5963,2025-09-27T04:49:00Z
Cr,98.59,-4.1454,163.9945,2025-07-11T18:47:00Z
Cr,63.43,83.2982,170.0517,2025-07-22T21:58:00Z
Pb,27.84,-15.1195,56.3813,2025-03-10T18:08:00Z
Hg,0.37,89.1331,33.2086,2025-02-21T22:47:00Z
Cd,2.82,-78.6227,115.0271,2025-08-27T11:42:00Z
Pb,7.41,-56.4721,167.7242,2025-08-21T03:59:00Z
Hg,7.36,-89.7864,55.849,2025-01-18T12:40:00Z
Pb,27.82,-49.9936,130.7277,2025-09-17T08:59:00Z
As,5.75,-87.3979,-38.1243,2025-01-25T12:54:00Z
Hg,3.94,-73.3119,-62.079,2025-05-03T18:06:00Z
Hg,9.07,10.725,-13.5617,2025-06-23T04:33:00Z
Pb,38.7,67.3674,-70.8462,2025-01-08T06:58:00Z
Hg,9.13,-19.3743,89.3268,2025-06-09T19:53:00Z
Hg,2.76,-86.9572,-78.8632,2025-03-13T16:11:00Z
Hg,6.86,67.0614,42.7098,2025-08-16T06:21:00Z
Pb,19.4,-39.2599,-177.2002,2025-09-23T10:07:00Z
Cr,30.99,-26.5739,15.0672,2025-05-11T16:29:00Z
As,11.54,51.1475,99.0747,2025-02-19T06:38:00Z
As,13.27,-88.9814,-124.9811,2025-09-23T16:09:00Z
Pb,10.02,-48.5553,-98.4978,2025-11-02T16:01:00Z
Pb,22.12,16.5413,74.6131,2025-04-23T06:08:00Z
As,5.01,-36.7933,40.0391,2025-08-10T06:05:00Z
Hg,3.61,-58.6329,-69.5113,2025-01-24T21:51:00Z
As,11.16,-60.4918,47.0842,2025-11-17T08:34:00Z
Hg,3.49,-71.275,-162.9431,2025-03-11T23:11:00Z
Hg,8.68,39.055,-93.0738,2025-12-12T20:00:00Z
As,17.69,-16.1116,40.199,2025-07-06T22:53:00Z
Pb,8.01,-3.03,54.2982,2025-05-25T10:20:00Z
Cr,52.0,49.0737,-28.8522,2025-07-28T01:42:00Z
Cr,41.66,-70.0071,-100.8183,2025-02-15T20:03:00Z
Hg,9.16,-52.7751,-43.0999,2025-12-16T03:00:00Z
Cd,0.43,-83.0286,138.1599,2025-01-08T14:39:00Z
Hg,5.22,16.6228,85.8483,2025-05-14T19:41:00Z
Cr,40.09,-33.2,-79.3801,2025-12-07T12:06:00Z
As,7.27,-25.4014,146.117,2025-12-16T14:17:00Z
Pb,43.47,33.6462,-131.4976,2025-12-10T23:51:00Z
Hg,0.61,29.4212,132.8624,2025-12-10T12:54:00Z
Cr,67.79,-56.7312,-57.8446,2025-02-13T05:21:00Z
Cr,79.12,39.2335,6.7771,2025-11-04T15:10:00Z
Cr,98.98,71.1543,-86.1356,2025-03-12T23:29:00Z
Cd,7.61,65.9113,152.6685,2025-11-11T10:20:00Z
Cd,3.67,-7.0515,143.5461,2025-10-22T05:47:00Z
Cd,2.64,89.9504,-90.6432,2025-08-02T09:51:00Z
As,14.84,-54.0396,145.3392,2025-10-27T10:47:00Z
Cr,53.24,26.9232,-141.437,2025-07-05T13:07:00Z
Cd,5.36,83.7276,110.1145,2025-04-05T22:23:00Z
Hg,6.81,-11.8157,-41.476,2025-07-02T03:11:00Z
Cr,16.44,78.2984,149.3169,2025-05-08T13:42:00Z
As,6.11,43.695,7.6663,2025-08-12T18:19:00Z
Hg,9.15,59.8511,84.9075,2025-04-06T05:48:00Z
Hg,3.79,54.1373,-72.5943,2025-08-03T06:36:00Z
Cd,3.03,-31.12,29.0373,2025-05-10T07:46:00Z
Hg,7.05,9.6537,128.2425,2025-04-27T05:08:00Z
Hg,7.98,-56.0627,-39.9741,2025-07-10T04:03:00Z
As,14.86,51.6423,122.9105,2025-09-17T16:27:00Z
Cr,16.98,36.827,155.3346,2025-04-25T21:18:00Z
Pb,15.77,39.5079,-47.2869,2025-09-04T18:25:00Z
Pb,36.78,18.1524,-166.3769,2025-04-04T08:24:00Z
